用户,评论内容,点赞数,评论时间,观点分类
斯巴鲁sibaliu,并非当场死亡[doge],106,2025-10-15 20:00:46,反对
M多喝热水M,再发一遍[微笑]，今天中午绿化带战神，耽误我二十分钟，堵死了真烦心，看车灯大概率是大麦牌汽车，记录仪拍的比较模糊，这车布盖的太及时了，也可能是怕烧起来吧，上次是一个奥创半夜在双向四车道的省道上，越双黄线逆行超我车，我开85在快车道，他可能比较急，但路上就我俩，慢车道超一下也行吧，开那么快，一脚下去起码120+，十秒钟尾灯我都看不到了[微笑]，夸张哦真的,59,2025-10-15 20:57:46,支持
纯野人吔,[笑哭]我今天回老家就遇到查酒驾的了，不知道是不是因为这个事儿，平时压根就没见到过,62,2025-10-15 20:09:38,支持
经典骁战,这事我站小米，喝酒开车就不能给机会[doge],26,2025-10-16 10:21:00,支持
紅魔馆の芙兰朵露,我觉得还得反思一个问题就是为什么电车总是小米在出事[笑哭][笑哭],15,2025-10-17 10:59:33,支持
心上一枪开的漂亮,救人的没有被表扬，还被小米把号给封了，真的搞笑。,823,2025-10-15 22:09:52,支持
跑跑卡丁车高质量选手,自己都把国标贴出来了，然后只读自己画红线的部分？非撞击侧门五个字怎么不念了？超哥我也看了好久了，自己购车目标也是手动挡车，但是这个，总觉得是不是超哥也开始蹭热点了。,13,2025-10-15 20:20:29,支持
炒盐,手持小米手机，给大家伙来个爆的,235,2025-10-16 00:16:37,支持
欢乐迪加,还是那句话，害人害己，幸好前车司机没事，最讨厌这种喝酒开车的了。,9,2025-10-16 18:45:41,支持
peace博,小米车主大量超速造成事故完全不意外。当一个车企，主要客户群体是大量刚出社会的年轻人，产品是城市道路用的汽车，ceo天天在社交媒体营销的是马力有多大，漂移有多帅，200公里刹停有多快的时候，大众就应该知道这个企业社会道德底线有多低，完全没有把客户和其他交通参与者的生命安全当回事，他要的只是引导让追求刺激的年轻人下单买车。,81,2025-10-16 02:42:44,支持
偉大孔佬-Official,自己🈚了，没波及路人，车🈚了，顺便给风评拉的更低了，周处除三害了属于是[点赞],94,2025-10-16 12:27:55,支持
凹凸骑士二巴,我记得这哥们之前不是推荐买米车的吗[doge],5,2025-10-16 14:34:09,支持
霸占她的天下,人肯定有问题，车有没有，不知道，没亲自开过，不好评价，反正是车门没开，变不变形不知道，电瓶坏没坏不知道，车是好车，有没有大问题不知道[喜极而泣],4,2025-10-16 11:00:00,支持
骑马没冰淇淋吃,[吃瓜]承认自己产品问题很难吗？又想拉上全行业？别的国产这种必死的事故，车主自己都不需要营救，自己开门下车。【两年过去了，又有热度了，带大家回顾一下798比亚迪保命瞬间-哔哩哔哩】 https://b23.tv/Z3NscTR,42,2025-10-16 11:21:09,支持
潘子的酒,视频被ota了，热度也完全被压下去了还一堆魔怔饭圈粉丝去骂他,50,2025-10-16 06:56:17,反对
甘霖瑙,我拿刀自杀我有问题吗。有！那刀有问题吗？那肯定也有！对吧，公式做题就是快[doge],3,2025-10-17 00:30:05,支持
中国兄弟会,省流：超哥就喜欢一直发同一个视频！,3,2025-10-15 20:45:42,反对
